ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,Pay1,Pay2,Pay3,Bill_amt1,Bill_amt2,Bill_amt3,Pay_amt1,Pay_amt2,Pay_amt3,default.payment.next.month
12,260000.0,Female,1,Single,51,-1,-1,2,8517.0,22287.0,13668.0,22301.0,0.0,3640.0,0
13,630000.0,Female,2,Single,41,-1,-1,-1,6500.0,6500.0,2870.0,6500.0,2870.0,0.0,0
17,20000.0,Male,1,Single,24,2,2,2,18338.0,17905.0,19104.0,0.0,1650.0,0.0,1
18,320000.0,Male,1,Married,49,-1,-1,-1,70074.0,5856.0,195599.0,20000.0,195599.0,50000.0,0
22,120000.0,Female,2,Married,39,-1,-1,-1,0.0,632.0,316.0,632.0,316.0,0.0,1
23,70000.0,Female,2,Single,26,2,2,2,44006.0,46905.0,46012.0,3601.0,0.0,1820.0,1
27,60000.0,Male,1,Single,27,-1,-1,-1,-57.0,127.0,-189.0,500.0,0.0,1000.0,1
29,50000.0,Female,3,Married,47,-1,-1,-1,2040.0,30430.0,257.0,30430.0,257.0,0.0,0
31,230000.0,Female,1,Single,27,-1,-1,-1,15339.0,14307.0,36923.0,14307.0,37292.0,0.0,0
49,380000.0,Male,2,Single,32,-1,-1,-1,32018.0,11849.0,11873.0,11851.0,11875.0,8251.0,0
57,180000.0,Female,3,Married,34,-1,-1,-1,7142.0,-679.0,8321.0,679.0,9000.0,2000.0,0
59,200000.0,Female,1,Single,34,2,2,2,1166.0,700.0,1414.0,0.0,1200.0,0.0,0
63,50000.0,Male,1,Single,29,2,2,2,25865.0,27667.0,28264.0,2225.0,1200.0,0.0,1
66,200000.0,Male,1,Married,57,-1,2,2,8174.0,8198.0,7918.0,300.0,0.0,1000.0,1
68,210000.0,Female,1,Single,30,-1,-1,-1,2280.0,300.0,4250.0,300.0,4250.0,909.0,0
69,130000.0,Female,3,Single,29,-1,2,-1,10311.0,10161.0,7319.0,0.0,7319.0,13899.0,0
71,80000.0,Male,1,Single,31,-1,-1,-1,390.0,390.0,390.0,390.0,390.0,390.0,0
72,320000.0,Male,2,Single,29,2,2,2,58622.0,62307.0,63526.0,4800.0,2400.0,1600.0,1
73,200000.0,Female,2,Married,32,-1,2,-1,5247.0,3848.0,3151.0,17.0,3165.0,1395.0,0
74,290000.0,Female,1,Single,37,-1,-1,-1,0.0,2359.0,0.0,2359.0,0.0,0.0,0
75,340000.0,Male,1,Single,32,-1,-1,-1,4291.0,80153.0,25820.0,80552.0,25949.0,2016.0,0
78,300000.0,Female,1,Married,45,-1,-1,-1,291.0,291.0,291.0,291.0,291.0,291.0,0
89,130000.0,Female,1,Married,35,-1,-1,-1,1330.0,7095.0,1190.0,7095.0,1190.0,2090.0,0
91,200000.0,Male,1,Married,53,2,2,2,144098.0,147124.0,149531.0,5500.0,5000.0,5000.0,1
107,80000.0,Female,2,Married,36,-1,-1,-1,3319.0,1150.0,1150.0,1150.0,1150.0,1035.0,0
108,350000.0,Male,1,Single,52,-1,-1,-1,867.0,1150.0,5263.0,1150.0,5263.0,5011.0,0
109,130000.0,Male,2,Single,38,-1,-1,-1,120483.0,44127.0,126568.0,4566.0,133841.0,4796.0,0
113,280000.0,Male,2,Married,41,2,2,3,144401.0,152174.0,149415.0,14850.0,0.0,5000.0,0
117,240000.0,Male,1,Single,28,-1,-1,-1,5676.0,476.0,326.0,476.0,326.0,526.0,0
119,400000.0,Male,2,Married,34,-1,-1,-1,7839.0,14837.0,7959.0,14837.0,7959.0,5712.0,0
121,50000.0,Male,3,Single,37,3,2,2,48851.0,49318.0,51143.0,1400.0,2800.0,0.0,1
136,240000.0,Male,2,Married,34,2,2,2,13269.0,14158.0,13891.0,1000.0,0.0,327.0,0
142,180000.0,Male,2,Single,28,-1,-1,-1,332.0,416.0,416.0,500.0,3500.0,832.0,0
150,260000.0,Female,1,Married,60,-1,-1,-1,0.0,969.0,869.0,969.0,1000.0,0.0,0
159,210000.0,Male,3,Married,45,4,5,6,137277.0,145533.0,154105.0,11078.0,11678.0,10478.0,1
162,50000.0,Male,2,Single,27,-1,-1,2,216.0,1080.0,540.0,864.0,0.0,390.0,0
172,300000.0,Female,1,Single,30,-1,-1,-1,4340.0,2672.0,800.0,2672.0,800.0,746.0,0
176,130000.0,Male,3,Married,56,2,2,3,68557.0,72796.0,71345.0,5500.0,0.0,0.0,1
187,360000.0,Female,1,Single,32,-1,-1,-1,68445.0,13881.0,16240.0,13889.0,16250.0,38313.0,0
188,200000.0,Female,3,Single,47,2,2,2,196186.0,200162.0,189915.0,7134.0,0.0,6836.0,1
190,20000.0,Female,2,Single,31,4,3,2,20835.0,20219.0,20487.0,0.0,760.0,0.0,0
196,50000.0,Female,1,Single,24,2,2,2,38462.0,39228.0,40035.0,1532.0,1600.0,0.0,1
199,500000.0,Female,1,Married,34,-1,-1,-1,1251.0,1206.0,1151.0,1206.0,1151.0,15816.0,0
203,140000.0,Female,1,Single,26,-1,-1,-1,5818.0,13506.0,487.0,13506.0,487.0,7004.0,0
207,100000.0,Male,1,Married,47,-1,-1,-1,390.0,390.0,0.0,390.0,0.0,2380.0,0
208,210000.0,Female,2,Married,41,-1,-1,-1,3763.0,877.0,0.0,877.0,0.0,419.0,1
211,220000.0,Male,1,Single,24,-1,-1,-1,8303.0,0.0,85632.0,0.0,85632.0,0.0,0
216,30000.0,Male,3,Married,42,-1,-1,2,240.0,1320.0,780.0,1470.0,0.0,0.0,0
236,80000.0,Male,1,Single,35,-1,-1,-1,1719.0,1378.0,19942.0,1378.0,19942.0,2418.0,0
244,180000.0,Female,1,Single,32,2,-1,-1,0.0,2821.0,0.0,2821.0,0.0,176.0,0
245,30000.0,Female,1,Single,40,2,2,2,19.0,19.0,79.0,0.0,60.0,60.0,0
247,250000.0,Female,2,Married,75,-1,-1,-1,1010.0,5572.0,794.0,5572.0,794.0,1184.0,0
255,400000.0,Female,2,Single,29,-1,-1,-1,4944.0,1896.0,2486.0,1905.0,2494.0,862.0,0
257,140000.0,Female,2,Married,48,-1,-1,-1,1355.0,1130.0,21361.0,1130.0,21361.0,1347.0,0
263,160000.0,Female,1,Married,38,-1,2,-1,18941.0,16578.0,12652.0,0.0,12652.0,1916.0,0
265,80000.0,Female,1,Single,37,-1,-1,-1,188.0,1644.0,16872.0,1644.0,16872.0,4000.0,0
266,150000.0,Female,2,Married,25,-1,-1,-1,316.0,316.0,316.0,316.0,316.0,316.0,0
277,460000.0,Male,1,Married,40,-1,-1,-1,2641.0,-10.0,22535.0,0.0,22545.0,0.0,1
278,50000.0,Female,1,Single,26,-1,-1,-1,316.0,316.0,316.0,316.0,316.0,316.0,0
286,210000.0,Female,1,Married,46,-1,-1,-1,20076.0,16171.0,586.0,16171.0,586.0,19777.0,0
291,280000.0,Male,1,Single,33,-1,-1,-1,898.0,325.0,-339603.0,325.0,0.0,345293.0,1
293,30000.0,Male,2,Married,43,2,2,2,2182.0,2000.0,2566.0,0.0,600.0,0.0,0
297,120000.0,Female,2,Married,29,-1,-1,-1,1423.0,0.0,1820.0,0.0,1820.0,2496.0,0
307,500000.0,Female,2,Married,36,-1,-1,-1,8500.0,4590.0,0.0,4590.0,0.0,0.0,0
309,30000.0,Male,3,Married,55,3,3,4,12841.0,13836.0,14514.0,1500.0,1500.0,1500.0,1
310,60000.0,Female,1,Single,27,-1,-1,-1,4889.0,273.0,11736.0,273.0,13557.0,0.0,0
327,220000.0,Female,2,Married,41,-1,2,-1,950.0,475.0,325.0,0.0,325.0,325.0,1
330,150000.0,Male,1,Married,40,2,2,2,104975.0,107147.0,109428.0,4000.0,4200.0,4200.0,0
331,200000.0,Female,2,Married,37,-1,-1,-1,6773.0,23209.0,16893.0,24000.0,17000.0,2500.0,1
340,120000.0,Female,1,Single,34,-1,-1,-1,1100.0,1330.0,830.0,1330.0,3800.0,2037.0,0
343,200000.0,Female,1,Single,29,-1,-1,2,20183.0,24815.0,24248.0,5000.0,0.0,1000.0,0
360,260000.0,Male,1,Married,34,-1,-1,-1,2351.0,34039.0,291.0,34039.0,291.0,291.0,0
372,160000.0,Male,1,Single,30,-1,-1,-1,8578.0,13028.0,21712.0,13028.0,29712.0,50000.0,0
373,90000.0,Female,1,Single,34,2,2,2,42451.0,49718.0,48767.0,8000.0,0.0,2000.0,0
378,140000.0,Female,1,Single,28,-1,-1,-1,4991.0,3400.0,3745.0,3600.0,5500.0,4000.0,0
388,80000.0,Male,3,Married,73,2,2,2,70646.0,72870.0,75018.0,3500.0,3500.0,5100.0,1
400,120000.0,Female,2,Single,25,2,2,2,116313.0,119311.0,117167.0,5000.0,0.0,4400.0,0
403,150000.0,Male,1,Single,41,-1,-1,2,0.0,2344.0,822.0,2344.0,0.0,472.0,1
405,160000.0,Female,1,Single,29,2,2,2,166893.0,170098.0,153800.0,5800.0,0.0,5654.0,1
411,60000.0,Female,1,Single,23,2,2,2,31601.0,32349.0,32965.0,1400.0,1300.0,1200.0,1
413,230000.0,Female,1,Married,32,-1,-1,-1,4595.0,792.0,3404.0,792.0,3404.0,0.0,0
423,230000.0,Female,2,Single,38,-1,-1,-1,371.0,2980.0,0.0,2980.0,0.0,2213.0,0
436,270000.0,Female,2,Married,32,2,2,2,217644.0,223690.0,221413.0,16000.0,8000.0,0.0,1
437,60000.0,Female,1,Single,27,-1,2,-1,300.0,150.0,150.0,0.0,150.0,200.0,0
443,30000.0,Female,1,Single,26,-1,-1,-1,0.0,197.0,2995.0,197.0,2995.0,0.0,0
457,130000.0,Male,3,Single,39,2,2,2,72383.0,77217.0,75820.0,6000.0,0.0,6000.0,0
459,230000.0,Female,2,Married,41,-1,-1,-1,8162.0,6985.0,9130.0,6985.0,9130.0,6554.0,0
462,80000.0,Female,2,Married,36,-1,-1,-1,2980.0,1260.0,7868.0,1260.0,7868.0,2198.0,0
470,90000.0,Female,1,Married,41,-1,-1,-1,307.0,2870.0,670.0,2870.0,670.0,1362.0,0
473,180000.0,Male,2,Married,34,-1,-1,-1,2144.0,1180.0,1382.0,1180.0,1382.0,2440.0,0
475,120000.0,Female,2,Married,32,-1,-1,-1,6440.0,0.0,5930.0,0.0,5930.0,5120.0,0
482,140000.0,Male,2,Single,26,2,2,2,144035.0,140419.0,130271.0,550.0,5300.0,5400.0,1
484,90000.0,Male,3,Married,48,2,2,2,67009.0,63228.0,59378.0,1600.0,1500.0,4086.0,0
485,100000.0,Female,2,Married,43,-1,-1,-1,556.0,2306.0,2562.0,2306.0,2562.0,2111.0,0
487,230000.0,Female,1,Married,42,-1,-1,-1,0.0,10500.0,6992.0,10500.0,6992.0,0.0,0
